clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_AGC	codon_AAC	codon_CAC	codon_TGG	codon_GTC	codon_ACA	codon_CCC	codon_AAG	codon_ACG	codon_TCA	codon_TCC	codon_AGG	codon_GCA	codon_CTC	codon_TAC	codon_AGT	codon_TTG	codon_ATA	codon_AAA	codon_TAT	codon_CTG	codon_CGA	codon_TTT	codon_CAG	codon_GGT	codon_GCT	codon_GAA	codon_GCC	codon_TTC	codon_CCA	codon_TGC	codon_TTA	codon_GTG	codon_ACC	codon_TGT	codon_GAC	codon_CAT	codon_CTT	codon_ATC	codon_CCT	codon_TCT	codon_CGC	codon_CAA	codon_ACT	codon_AGA	codon_GGC	codon_TCG	codon_CGT	codon_CCG	codon_AAT	codon_CTA	codon_GTA	codon_ATG	codon_GAG	codon_GAT	codon_GGA	codon_GTT	codon_GGG	codon_ATT	codon_GCG	codon_CGG
NC_071990.2	2::NC_071990.2:23816662-23827555(+)	10893	False	0.6414	1	2.0	2.0	4.0	2.0		8.0		10.0	2.0			439.0	91.0			2.0	1.0		3.0		1.0	19.0		80.0	1.0	3.0	8.0		1.0			1.0	4.0			7.0		1.0				1.0	1.0	1.0	918.0	161.0				1.0	1.0			1057.0	1.0	269.0		499.0		20.0	9.0
NC_071991.2	3::NC_071991.2:12251345-12263321(+)	11976	False	0.6455	2	35.0	15.0	1058.0	6.0	1.0	654.0	585.0		6.0	7.0	157.0		31.0	136.0	14.0	1.0		25.0	1.0	7.0	4.0	4.0	1.0	33.0		2.0	3.0	10.0	1.0	494.0	3.0			447.0	2.0	2.0	22.0	3.0	18.0	133.0	2.0	5.0	11.0	32.0	1.0	3.0		3.0	2.0		2.0		1.0	2.0	1.0	1.0	1.0	3.0	1.0		
NC_071991.2	2::NC_071991.2:12251383-12263269(+)	11886	False	0.6462	1	32.0	27.0	1090.0		1.0	650.0	578.0	1.0	7.0	2.0	169.0	1.0	30.0	147.0	17.0			17.0	1.0	6.0	3.0			32.0		1.0		7.0		442.0	6.0		1.0	459.0		4.0	35.0	1.0	16.0	128.0	1.0	2.0	14.0	13.0	3.0	2.0		1.0	3.0	1.0	4.0		2.0		1.0	2.0		1.0		1.0	
NC_072003.2	2::NC_072003.2:688180-698353(+)	10173	False	0.5888	0			1.0	305.0	317.0	152.0	196.0	36.0			360.0		3.0		1.0		153.0				3.0		150.0	152.0		306.0	152.0		3.0		4.0	1.0	153.0		140.0	80.0	1.0	2.0	58.0	3.0	154.0			2.0	4.0	2.0	51.0	12.0		1.0		3.0	117.0	1.0		2.0		153.0	6.0		151.0
NC_072003.2	1::NC_072003.2:6034113-6045801(+)	11688	False	0.7652	2	182.0		53.0	53.0	53.0	1.0	378.0	144.0		144.0	1.0	107.0		235.0							144.0			53.0	91.0	181.0		251.0		91.0	90.0			1.0	1.0					198.0		91.0	91.0		53.0	107.0	53.0				53.0			182.0	1.0			614.0		146.0	53.0
NC_072009.2	2::NC_072009.2:5150008-5161756(+)	11748	False	0.6181	1	1.0	22.0	439.0		9.0	270.0	434.0		9.0	30.0	471.0		8.0	498.0	18.0	2.0	3.0	5.0	7.0	5.0	18.0	6.0	8.0	7.0		2.0	1.0	31.0	162.0	216.0	19.0	1.0		184.0	5.0	3.0	31.0	188.0	33.0	492.0	152.0	13.0	32.0	27.0	2.0		8.0	7.0	13.0	2.0	12.0	1.0					4.0		5.0		
NC_072009.2	1::NC_072009.2:5151678-5162256(+)	10578	False	0.6191	1	3.0	30.0	394.0		10.0	228.0	364.0		5.0	27.0	457.0		6.0	439.0	12.0		7.0	4.0	7.0	4.0	16.0	2.0	8.0	6.0		2.0	3.0	22.0	129.0	200.0	17.0	1.0	1.0	194.0	6.0	7.0	23.0	141.0	30.0	459.0	155.0	15.0	18.0	22.0	2.0		13.0	7.0	7.0	3.0	12.0	1.0			1.0		2.0		4.0		
NC_072009.2	-2::NC_072009.2:5518024-5533807(-)	15783	False	0.6216	1		24.0	625.0		16.0	340.0	582.0		5.0	32.0	672.0		7.0	663.0	26.0	5.0	4.0	7.0	12.0	5.0	22.0	4.0	14.0	8.0		5.0		22.0	215.0	298.0	24.0	3.0		288.0	3.0	5.0	35.0	203.0	42.0	660.0	224.0	11.0	38.0	33.0	4.0	2.0	15.0	15.0	14.0	1.0	14.0	4.0		1.0			3.0		5.0		1.0
NC_072009.2	-3::NC_072009.2:5518041-5536239(-)	18198	False	0.6195	1	4.0	43.0	694.0	1.0	20.0	399.0	668.0	1.0	7.0	38.0	750.0	1.0	5.0	774.0	29.0	4.0	3.0	4.0	18.0	6.0	31.0	6.0	18.0	12.0	1.0	8.0	3.0	28.0	243.0	344.0	25.0	3.0		327.0	9.0	11.0	41.0	242.0	38.0	752.0	265.0	13.0	47.0	39.0	6.0	2.0	11.0	14.0	19.0	2.0	17.0	3.0	2.0	1.0	1.0	1.0	2.0	1.0	7.0		2.0
NC_072009.2	-1::NC_072009.2:5526146-5536157(-)	10011	False	0.6184	1	3.0	29.0	371.0	1.0	9.0	224.0	371.0		2.0	14.0	413.0	1.0	3.0	432.0	10.0	1.0	2.0	5.0	15.0	3.0	15.0	4.0	8.0	5.0	2.0	5.0		15.0	140.0	188.0	15.0	2.0		186.0	6.0	10.0	25.0	141.0	14.0	402.0	140.0	8.0	22.0	23.0	2.0	1.0	6.0	7.0	9.0	1.0	14.0	3.0			1.0		2.0		4.0		2.0
NW_026946741.1	3::NW_026946741.1:52709-63428(+)	10719	False	0.7743	2	246.0		8.0		9.0	1.0	387.0	132.0		100.0	1.0	17.0	31.0	254.0							76.0	1.0		1.0	245.0	123.0		149.0		61.0	124.0		8.0	2.0	1.0					203.0	1.0	125.0	123.0		9.0	19.0	8.0		58.0		9.0			247.0	1.0			645.0		132.0	16.0
NC_072008.2	-3::NC_072008.2:162571334-162581726(-)	10392	False	0.5168	0		22.0				1.0	1.0															175.0												1708.0				2.0	1.0	22.0											1532.0										
NC_072008.2	1::NC_072008.2:162571335-162581727(+)	10392	False	0.5167	0												1534.0						1.0							1.0							22.0																				1.0					1708.0	22.0			175.0
NC_072008.2	-2::NC_072008.2:162571341-162581601(-)	10260	False	0.5171	0		1708.0					1.0								1.0					1.0																				1534.0									175.0												
NC_072008.2	2::NC_072008.2:162571354-162581602(+)	10248	False	0.5171	0																	1.0								1.0				175.0			1532.0																										1707.0			
NC_071994.2	2::NC_071994.2:1161730-1175959(+)	14229	False	0.6346	2	133.0	51.0	67.0	54.0	46.0	380.0	266.0	25.0	178.0	35.0	347.0	67.0	100.0	63.0	28.0	37.0	10.0	5.0	43.0	1.0	152.0	4.0	23.0	80.0	19.0	62.0	35.0	318.0	50.0	163.0	49.0	1.0	117.0	676.0	23.0	44.0	9.0	33.0	70.0	39.0	27.0	22.0	9.0	232.0	13.0	124.0	20.0	12.0	32.0	12.0	21.0	5.0	68.0	72.0	3.0	18.0	5.0	104.0	8.0	21.0	12.0
NC_072000.2	1::NC_072000.2:3555-13788(+)	10233	False	0.4997	1		249.0	1.0		3.0	2.0	2.0	1.0	1.0	2.0				1.0	1.0	1.0	1.0	1.0	2.0		1.0	1.0	3.0	2.0			3.0	1.0	3.0	2.0		1.0		1428.0				1.0		248.0		1.0	1.0	1.0	1.0		1.0	1.0		2.0	1429.0	1.0	3.0	2.0		1.0		2.0			3.0
NC_072000.2	-1::NC_072000.2:3560-13805(-)	10245	False	0.4991	1	1.0	1.0		1.0	1.0	1.0	3.0	3.0			2.0	1429.0		1.0		2.0	1.0	1.0	2.0			1.0	6.0	1.0	1.0	1.0	2.0		2.0		3.0	248.0	2.0	2.0				1.0			3.0	1.0		1.0	1.0		1.0	3.0		2.0		1.0	1.0		1.0	1.0	1428.0	249.0	2.0		1.0
