clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TGC	codon_CAT	codon_AAT	codon_AAG	codon_TCT	codon_CTC	codon_AAA	codon_AAC	codon_CCC	codon_TGG	codon_ACT	codon_GTA	codon_TCA	codon_AGG	codon_GGT	codon_TGT	codon_CAC	codon_GAT	codon_GGA	codon_ATT	codon_AGC	codon_AGT	codon_GAA	codon_TTT	codon_GGC	codon_GAG	codon_GGG	codon_GAC	codon_GCT	codon_CGT	codon_GTG	codon_ATG	codon_CTG	codon_GCG	codon_TTG	codon_GTC	codon_GTT	codon_GCA	codon_ATC	codon_ACC	codon_CCT	codon_AGA	codon_TAT	codon_CAA	codon_ATA	codon_TTC	codon_ACA	codon_TGA	codon_TAG	codon_CGG	codon_CGA	codon_TCG	codon_CAG	codon_TAC	codon_CCA	codon_TAA	codon_GCC	codon_ACG	codon_TTA	codon_CTT	codon_TCC	codon_CTA	codon_CCG	codon_CGC
NC_060943.1	1::NC_060943.1:56998926-57004200	5274	False	0.5876	1	41.0	54.0	1.0	2.0	40.0	3.0	1.0	1.0	106.0	202.0	8.0	11.0	60.0	62.0	149.0	29.0		1.0	53.0	59.0		58.0	1.0	1.0	34.0	56.0	5.0	17.0	20.0	2.0	67.0	2.0	57.0	3.0	134.0	101.0	41.0	5.0			13.0	3.0	12.0	2.0	1.0	2.0	3.0			2.0		2.0	67.0	2.0	60.0		55.0	1.0	1.0	16.0	25.0	2.0	2.0	
NC_060943.1	1::NC_060943.1:61634235-61640661	6426	False	0.5955	2	17.0	7.0	1.0	2.0	30.0	170.0	2.0	11.0	265.0	3.0	5.0		103.0	96.0	4.0	2.0	121.0	37.0	16.0	89.0	7.0	5.0	9.0	10.0	10.0	6.0	18.0	114.0	45.0	5.0	2.0	8.0	94.0	9.0	2.0	2.0	8.0	3.0	2.0	96.0	67.0	38.0	1.0	6.0	3.0	37.0	140.0			8.0		1.0	91.0	5.0	23.0		12.0	2.0	3.0	109.0	139.0	8.0	6.0	7.0
NC_060943.1	3::NC_060943.1:61634819-61640612	5793	False	0.5861	1	36.0	8.0	1.0		95.0	196.0	2.0	2.0	171.0		5.0		15.0	14.0	3.0	1.0	189.0	90.0	37.0	11.0	1.0	1.0	8.0	12.0	5.0	1.0		41.0	92.0			2.0	13.0	2.0				1.0	1.0	13.0	175.0	114.0	1.0	1.0	3.0	70.0	152.0			4.0		1.0	127.0	4.0	33.0					22.0	151.0	1.0	2.0	1.0
NC_060936.1	2::NC_060936.1:2251543-2257381	5838	False	0.4515	0	1.0	3.0	2.0	1.0		2.0	1.0	1.0	1.0	1.0	175.0	1.0	161.0	1.0			179.0	73.0	4.0	1.0		190.0		1.0			1.0	295.0	19.0				152.0				1.0				192.0	1.0	15.0	185.0	1.0		1.0				4.0		15.0	1.0	31.0		1.0		191.0	41.0				
NC_060936.1	1::NC_060936.1:131622648-131629353	6705	False	0.5393	0	130.0			1.0	402.0	168.0		2.0	3.0	1.0	108.0	27.0		1.0		336.0	62.0		1.0	1.0	1.0	3.0	3.0	1.0	2.0				16.0	6.0	107.0		355.0	23.0	3.0	205.0		79.0	5.0	2.0	39.0		4.0	1.0		1.0	2.0			3.0			3.0	36.0			48.0			2.0	1.0	15.0	5.0	21.0
NC_060936.1	2::NC_060936.1:131622820-131629414	6594	False	0.5391	0	126.0	1.0	2.0	1.0	371.0	158.0		2.0	1.0	2.0	93.0	38.0		1.0	3.0	326.0	73.0			1.0		5.0		2.0					27.0	3.0	94.0	2.0	383.0	14.0	1.0	206.0	2.0	64.0	2.0	3.0	50.0	1.0	10.0								1.0		6.0	32.0	1.0		44.0		2.0	2.0	3.0	13.0	2.0	24.0
NC_060936.1	3::NC_060936.1:131623112-131629325	6213	False	0.5414	0	141.0				344.0	172.0			1.0		94.0	23.0	1.0			311.0	59.0				2.0	2.0		2.0					27.0	3.0	95.0	3.0	334.0	23.0	1.0	201.0		58.0	6.0	1.0	43.0		4.0			1.0	3.0						3.0	43.0			37.0	2.0			4.0	11.0	3.0	13.0
NC_060936.1	3::NC_060936.1:132290033-132296255	6222	False	0.6138	2	7.0	46.0		1.0	10.0	50.0	1.0	8.0	264.0	9.0	3.0	1.0	1.0	6.0		6.0	220.0		11.0	50.0	3.0	3.0	2.0	5.0	53.0	1.0	79.0	3.0	7.0	2.0	4.0	3.0	11.0	1.0	3.0	6.0	2.0	4.0	5.0	82.0	135.0	3.0	46.0	13.0	48.0	40.0	217.0			46.0		3.0	14.0	73.0	85.0		88.0	29.0	34.0	60.0	91.0	34.0	25.0	17.0
NC_060936.1	3::NC_060936.1:133004969-133010465	5496	False	0.7134	2			1.0	107.0		1.0	5.0	1.0	3.0	100.0	2.0		2.0	193.0	95.0	10.0	2.0	4.0	211.0		1.0	3.0	98.0			231.0	573.0	1.0			83.0	1.0	4.0	4.0				1.0	1.0	3.0	1.0	75.0		1.0	2.0		1.0						4.0		3.0		1.0			2.0	1.0			
NC_060936.1	-1::NC_060936.1:133005018-133011888	6870	False	0.7176	1	1.0			129.0		2.0	4.0	2.0	2.0	103.0	1.0			263.0	118.0	9.0	3.0	2.0	248.0	1.0	1.0	10.0	99.0		2.0	272.0	742.0	1.0	1.0		122.0	3.0	2.0			2.0			1.0	1.0	1.0	121.0		1.0	1.0	2.0	2.0	4.0	1.0	3.0	1.0		2.0		1.0			1.0			2.0			
NC_060936.1	-3::NC_060936.1:133005142-133011970	6828	False	0.7188	1	2.0	1.0		103.0	3.0	2.0		1.0	3.0	122.0	2.0	1.0		267.0	103.0	3.0	2.0		273.0			9.0	123.0		3.0	246.0	726.0	2.0	2.0		133.0	1.0	2.0	1.0		2.0		1.0	1.0		1.0	123.0				2.0	3.0	2.0			1.0		1.0		2.0		1.0							
NC_060936.1	-2::NC_060936.1:133005146-133011884	6738	False	0.7205	1		1.0		120.0		2.0	3.0			125.0	1.0	1.0		245.0	111.0	10.0	1.0	2.0	268.0			2.0	128.0		1.0	267.0	734.0	1.0			112.0		2.0	3.0								100.0					1.0	1.0	1.0				1.0							1.0	1.0			
NC_060936.1	1::NC_060936.1:133005159-133010910	5751	False	0.7211	1				104.0			2.0			84.0				238.0	98.0	7.0		1.0	211.0			9.0	80.0			223.0	629.0		1.0		114.0	2.0										110.0		1.0						2.0	1.0													
NC_060936.1	2::NC_060936.1:133005175-133011940	6765	False	0.7197	1	1.0			103.0	2.0	2.0		1.0	2.0	122.0	1.0	1.0		266.0	102.0	3.0	2.0		272.0			9.0	123.0		3.0	244.0	725.0	1.0	1.0		132.0	1.0	2.0	1.0		1.0			1.0			123.0				2.0	2.0				1.0		1.0		2.0									
NC_060931.1	-1::NC_060931.1:1295463-1304679	9216	False	0.673	1	1.0	2.0	2.0	86.0	2.0	5.0		8.0	1.0	95.0	2.0			231.0	88.0	93.0	90.0	94.0	165.0	2.0	19.0	2.0	104.0		117.0	101.0	714.0	80.0	69.0	1.0	165.0	85.0	84.0	32.0	3.0	1.0		8.0	1.0	1.0	17.0	14.0		1.0			181.0	161.0		28.0	1.0		89.0	2.0	4.0		16.0			1.0	3.0			
NC_060931.1	-3::NC_060931.1:1295698-1304692	8994	False	0.6755	1				91.0			1.0	12.0		80.0				242.0	93.0	79.0	86.0	80.0	166.0		17.0		87.0	2.0	96.0	105.0	705.0	65.0	77.0	1.0	177.0	93.0	86.0	30.0			1.0	10.0		1.0	15.0	13.0				1.0	167.0	170.0		32.0			97.0		1.0		16.0	1.0			2.0			
NC_060931.1	-2::NC_060931.1:1295714-1304672	8958	False	0.6765	1	1.0		1.0	80.0				6.0	1.0	87.0				264.0	79.0	85.0	90.0	85.0	178.0		15.0		95.0		106.0	91.0	696.0	77.0	64.0		172.0	80.0	92.0	28.0				4.0			18.0	14.0					162.0	182.0		30.0			85.0				17.0							1.0
NC_060931.1	2::NC_060931.1:1380634-1385743	5109	False	0.6287	2	45.0	1.0	3.0	4.0	5.0	75.0	1.0	1.0	110.0	17.0	69.0	2.0	4.0	11.0	15.0	36.0	211.0	3.0	19.0		5.0	1.0	5.0		9.0	8.0	30.0	75.0	3.0	2.0	18.0	3.0	70.0	5.0	4.0	22.0	3.0	4.0	19.0	71.0	79.0	70.0	6.0		1.0	3.0	139.0			8.0	1.0	1.0	80.0	2.0	139.0		44.0	8.0		1.0	109.0	13.0	6.0	4.0
NC_060931.1	3::NC_060931.1:159805334-159822644	17310	False	0.5444	1	2.0	3.0		12.0	1.0		4.0		1.0	6.0		5.0	1.0		3418.0	16.0	1.0	539.0	379.0			381.0	5.0	1.0	3.0	28.0	6.0	4.0	10.0		124.0	29.0	19.0				25.0	3.0			1.0	367.0	349.0			1.0	1.0			1.0			2.0	4.0				1.0	14.0	2.0	1.0			
NC_060931.1	1::NC_060931.1:159806178-159822525	16347	False	0.5438	0				4.0						3.0		743.0			4.0						1.0	1.0	1.0			742.0	1.0				2675.0	884.0	7.0	2.0	6.0		365.0																	1.0				6.0	3.0					
NC_060931.1	-2::NC_060931.1:159806198-159822557	16359	False	0.5438	0							2.0			3.0		1.0			3391.0	14.0		536.0	376.0			378.0	3.0		2.0	2.0		3.0	7.0		4.0	1.0	1.0				9.0					367.0	348.0				1.0			1.0				3.0										
NC_060931.1	-1::NC_060931.1:159806340-159822717	16377	False	0.5434	0	2.0	1.0	1.0	4.0	1.0	2.0		1.0	3.0	6.0	2.0	743.0		3.0		3.0	2.0			2.0	2.0		1.0	3.0	2.0	737.0	1.0		2.0		2656.0	880.0	5.0	1.0	5.0		363.0	2.0	2.0						1.0	1.0	1.0	2.0	1.0				2.0		1.0	1.0	2.0	6.0		1.0	2.0			
NC_060941.1	2::NC_060941.1:6087832-6094120	6288	False	0.6169	1	1.0		2.0	3.0	3.0	3.0	4.0	1.0	3.0	2.0	1.0	9.0	1.0	4.0	2.0	1.0	2.0	1.0	1.0			2.0	2.0	2.0	1.0	141.0	228.0	3.0	2.0		1143.0	482.0	4.0	1.0	3.0			2.0	2.0	1.0	3.0	4.0		3.0		1.0	2.0				1.0		5.0		2.0		2.0		2.0	4.0	1.0	3.0		
NC_060941.1	-1::NC_060941.1:6087888-6094167	6279	False	0.6171	1	1.0	2.0	2.0	2.0	1.0		2.0			1.0	1.0			4.0	1142.0	1.0	3.0	478.0	141.0	3.0	2.0	10.0	5.0	2.0	5.0	1.0	227.0		8.0		1.0	1.0	2.0	1.0	1.0		4.0	2.0	1.0		3.0	3.0	2.0	2.0		4.0	2.0	1.0	3.0	1.0	1.0		2.0		2.0	1.0	3.0			2.0	4.0			
NC_060941.1	-3::NC_060941.1:6087991-6094060	6069	False	0.6209	1				2.0	1.0		2.0			1.0		9.0		2.0			1.0							1.0		140.0	225.0		2.0		1142.0	479.0	2.0	1.0	3.0			2.0	1.0		1.0	2.0											2.0		1.0					1.0				
NC_060941.1	-2::NC_060941.1:6088040-6094049	6009	False	0.6222	1	2.0									1146.0				138.0		2.0			1.0		1.0	1.0					223.0	1.0														2.0		1.0		1.0		474.0	9.0		1.0													
NC_060941.1	1::NC_060941.1:6088041-6094404	6363	False	0.6164	2	3.0	5.0		1.0	4.0	4.0	1.0		4.0	4.0		1.0	4.0		1143.0		4.0	478.0	144.0		2.0	11.0	1.0	5.0	3.0		224.0	1.0	7.0	1.0	2.0	3.0	6.0		2.0	1.0	6.0	3.0	1.0	2.0	4.0	2.0	3.0	2.0		4.0	4.0			1.0	1.0		3.0	1.0	6.0		1.0	1.0		3.0	2.0	2.0		
NC_060941.1	-3::NC_060941.1:81645697-81650701	5004	False	0.5667	1	1.0				1.0	6.0	1.0		4.0		377.0			1.0			2.0				271.0	1.0	1.0	2.0	1.0	1.0			167.0			1.0	273.0		2.0	126.0	107.0	2.0				10.0	1.0			1.0	137.0		2.0			1.0			1.0	1.0	145.0	21.0						
NC_060934.1	2::NC_060934.1:1232284-1239049	6765	False	0.6288	1	32.0	6.0	1.0	1.0	107.0	284.0	1.0	2.0	357.0	3.0	58.0		3.0		73.0	150.0	1.0	2.0	3.0	1.0	4.0	1.0	3.0	60.0	3.0	3.0	3.0	1.0	3.0		61.0	2.0	38.0	2.0	2.0	9.0	70.0	7.0	2.0	3.0	160.0					5.0	1.0			142.0	1.0	1.0		70.0	6.0		68.0	1.0	138.0	3.0	238.0		59.0	
NC_060934.1	1::NC_060934.1:1232409-1239024	6615	False	0.6293	1	75.0	4.0			59.0	325.0	1.0		361.0	1.0	142.0		1.0		58.0	79.0	2.0		2.0		1.0		2.0	140.0	1.0	1.0	1.0		4.0		143.0		39.0		1.0	7.0	59.0	4.0	7.0	1.0	118.0					5.0	1.0			69.0	1.0		1.0	59.0			23.0		70.0	3.0	192.0		142.0	
NC_060934.1	3::NC_060934.1:1232489-1239410	6921	False	0.6284	1	27.0	7.0	1.0	1.0	67.0	239.0	1.0	3.0	364.0	3.0	70.0	1.0		1.0	144.0	69.0	5.0	1.0	2.0	1.0	3.0	2.0	2.0	71.0	5.0	2.0	2.0	2.0	3.0	1.0	76.0	2.0	86.0	1.0		10.0	145.0	10.0	6.0	2.0	239.0			1.0		5.0	6.0			58.0		2.0	8.0	138.0	7.0		33.0	1.0	58.0	6.0	237.0	1.0	69.0	
NC_060934.1	-1::NC_060934.1:18577128-18582279	5151	False	0.3988	0	16.0	2.0	235.0	28.0	1.0		34.0	10.0		212.0	2.0	13.0		24.0	6.0	7.0	2.0	15.0	204.0	9.0	5.0	12.0	254.0	2.0	2.0	72.0	16.0	4.0	2.0	2.0	18.0	212.0	6.0	5.0	13.0		2.0	20.0	3.0			95.0	11.0	11.0	31.0		14.0	22.0	28.0	6.0	2.0		8.0	2.0		9.0		7.0		1.0				
NC_060934.1	-1::NC_060934.1:131972550-131978775	6225	False	0.5703	2	7.0	3.0	3.0	77.0	6.0	9.0	3.0	2.0	8.0	123.0	3.0	143.0		89.0	230.0	17.0	6.0	76.0	29.0	3.0	6.0	20.0	3.0	2.0	5.0	14.0	449.0	2.0	8.0	1.0	100.0	71.0	9.0	2.0	3.0	11.0	5.0	6.0	20.0	5.0	3.0	88.0	63.0	2.0	79.0	3.0	4.0	10.0	87.0	25.0	1.0	22.0	9.0	2.0	8.0	70.0	8.0	1.0		6.0	5.0			
NC_060934.1	-2::NC_060934.1:131972693-131978090	5397	False	0.5703	1	2.0		1.0	84.0						127.0		128.0		77.0	211.0	7.0		77.0	13.0			19.0				21.0	457.0				73.0	54.0		2.0	3.0	13.0		1.0	9.0			69.0	78.0		85.0			3.0	69.0	17.0		21.0	5.0			73.0								
NC_060934.1	-1::NC_060934.1:133769541-133774647	5106	False	0.5413	1	178.0	2.0	1.0	2.0	2.0	4.0			3.0	5.0	12.0	4.0		4.0	5.0	386.0	5.0	74.0	1.0	1.0	8.0	23.0	1.0	1.0	1.0	21.0	4.0	2.0	156.0	4.0	415.0	66.0	143.0	16.0	8.0	5.0	4.0	11.0		1.0		2.0	1.0	1.0			1.0	83.0		2.0			3.0	2.0	1.0	1.0	3.0	5.0		2.0			1.0	15.0
NC_060934.1	-3::NC_060934.1:134060533-134067874	7341	False	0.6276	1	172.0	3.0	3.0	2.0	3.0	64.0	1.0	1.0	177.0	4.0	1.0			4.0	2.0	2.0	106.0	1.0	1.0		3.0	2.0	2.0	3.0	3.0	3.0	6.0	2.0	2.0		1.0		7.0			1.0	4.0	80.0		245.0	170.0					5.0	178.0	4.0		70.0			261.0		323.0	169.0	7.0			1.0	337.0		10.0	1.0
NC_060934.1	3::NC_060934.1:134060672-134067875	7203	False	0.6292	1	2.0	2.0	170.0	1.0	1.0	167.0			172.0	2.0	2.0	1.0		21.0	1.0		484.0		13.0		2.0	1.0	2.0	1.0	5.0	1.0	63.0		3.0	1.0	1.0	1.0	6.0		2.0			1.0	2.0	105.0	504.0	241.0		90.0		1.0	1.0						2.0		79.0		172.0		1.0		62.0	1.0	2.0	9.0
NC_060934.1	-2::NC_060934.1:134060783-134067989	7206	False	0.6274	2	3.0	3.0	168.0	2.0	1.0	166.0	1.0	1.0	172.0		2.0	1.0		20.0	2.0	1.0	486.0	1.0	13.0	2.0	2.0			1.0	4.0	1.0	61.0	1.0	3.0	1.0		1.0	4.0		1.0				2.0	105.0	503.0	244.0		90.0	1.0	3.0				1.0			3.0		78.0	1.0	170.0			1.0	64.0		2.0	9.0
NC_060934.1	1::NC_060934.1:134060784-134067861	7077	False	0.6301	1	3.0					168.0		90.0	170.0	1.0							76.0				2.0		1.0		78.0		1.0	252.0	1.0		2.0	2.0	170.0					1.0	168.0	321.0	63.0			1.0			93.0			2.0					273.0		13.0	70.0		1.0	167.0	168.0	1.0	
NC_060934.1	-2::NC_060934.1:134091083-134096327	5244	False	0.6937	1	1.0	3.0			157.0	71.0	1.0		53.0	196.0	1.0	9.0		11.0	170.0	56.0	1.0	2.0	4.0		2.0	1.0		1.0	42.0	2.0	283.0	1.0	22.0	1.0	68.0		180.0	24.0	9.0	156.0	19.0	4.0	2.0		77.0	2.0				8.0		2.0	2.0	20.0		2.0	4.0	4.0	1.0		2.0			2.0	68.0			1.0
NC_060934.1	-3::NC_060934.1:134091100-134096386	5286	False	0.6928	1		3.0			159.0	68.0		1.0	71.0	186.0	1.0	5.0		11.0	173.0	78.0	1.0	1.0	2.0		3.0	1.0		2.0	49.0	6.0	283.0	1.0	24.0	1.0	76.0		168.0	20.0	12.0	144.0	15.0	4.0	2.0	2.0	71.0	1.0			1.0	15.0		3.0	6.0	23.0		1.0	4.0		3.0		2.0			2.0	56.0		1.0	
NC_060942.1	-2::NC_060942.1:74425633-74430805	5172	False	0.686	1				15.0			1.0			106.0				260.0	96.0			14.0	305.0		1.0	6.0	88.0		51.0	96.0	294.0	2.0	6.0		135.0	78.0	1.0	55.0			2.0					70.0		1.0		1.0		8.0	7.0	2.0	9.0	1.0	1.0					2.0		10.0				
NC_060930.1	-2::NC_060930.1:65442883-65449135	6252	False	0.4207	0	1.0	5.0	2.0	107.0	1.0	2.0	10.0	6.0	1.0	3.0	1.0	3.0		21.0	1.0	2.0	3.0		5.0	1.0	447.0	2.0	8.0			4.0		1.0	4.0	2.0		2.0	2.0	3.0	3.0	2.0		6.0	3.0	1.0	1.0	1368.0		2.0	3.0		1.0	2.0		7.0			24.0	1.0	2.0	2.0	1.0				2.0		2.0	1.0
NC_060930.1	-3::NC_060930.1:65442954-65448960	6006	False	0.4172	0			5.0	1357.0			9.0	2.0	1.0					4.0		1.0			2.0		1.0	1.0	105.0		2.0	21.0					1.0			5.0		1.0		21.0				4.0		3.0					5.0				448.0	1.0				1.0					1.0	
NC_060930.1	2::NC_060930.1:65442955-65449012	6057	False	0.419	0			2.0	107.0	1.0		4.0	4.0		2.0	1.0	1.0		21.0					5.0	1.0	445.0	2.0	7.0			3.0			2.0	1.0				2.0	1.0	1.0		1.0	2.0	1.0		1366.0			2.0		1.0			7.0			23.0		1.0								1.0	1.0
NC_060930.1	2::NC_060930.1:168126778-168132607	5829	False	0.7277	2	2.0	70.0			52.0	211.0	1.0	2.0	373.0	6.0	1.0	1.0	76.0	73.0	9.0		51.0	3.0		8.0	2.0		1.0	10.0	117.0	2.0	49.0		2.0		2.0	2.0	1.0	2.0	7.0	1.0	1.0	4.0	57.0	54.0	168.0	1.0		1.0		13.0				30.0		33.0	83.0		114.0		118.0			8.0	118.0	1.0	2.0	
NC_060930.1	1::NC_060930.1:168126855-168132705	5850	False	0.7285	2	3.0	64.0			47.0	208.0			367.0	13.0			81.0	76.0	1.0		54.0	1.0	2.0	10.0	1.0	1.0	2.0	10.0	119.0	4.0	43.0	1.0	2.0			1.0	3.0		6.0			5.0	57.0	50.0	175.0	1.0		1.0		12.0	1.0			43.0		30.0	73.0		119.0		113.0		1.0	11.0	133.0			5.0
NC_060930.1	3::NC_060930.1:168126875-168132740	5865	False	0.7284	2	1.0	67.0	1.0	2.0	50.0	213.0			372.0	10.0	2.0		71.0	83.0			51.0		5.0	10.0			1.0	9.0	116.0	1.0	42.0		2.0		1.0	3.0	3.0	2.0	8.0	8.0		1.0	59.0	50.0	169.0	3.0		1.0		10.0				34.0		41.0	77.0	1.0	119.0		118.0			10.0	120.0	1.0	5.0	2.0
NC_060930.1	-1::NC_060930.1:171253508-171258662	5154	False	0.5041	1	3.0	1.0	1.0	3.0	1.0	2.0	1.0	5.0	3.0	101.0	1.0	3.0		12.0	104.0	53.0	3.0	227.0	14.0	2.0		43.0	1.0		3.0	12.0	156.0	55.0	1.0		142.0	231.0	3.0	2.0	41.0	2.0	46.0	6.0	9.0	2.0	4.0	5.0	3.0	6.0	2.0	3.0	40.0	262.0	3.0	11.0	4.0	3.0	47.0	1.0	3.0	7.0	5.0	9.0		2.0	2.0			1.0
NC_060940.1	-3::NC_060940.1:1751049-1756365	5316	False	0.5918	0	1.0	78.0		1.0	13.0	1.0		1.0	4.0	1.0	2.0	1.0		1.0	1.0	197.0	8.0	1.0	1.0	1.0	67.0	14.0		1.0	1.0	92.0		75.0	2.0	155.0	280.0	31.0	22.0	37.0		55.0	2.0	39.0	46.0	64.0	7.0	7.0	1.0			6.0		155.0		2.0	2.0	2.0	1.0		49.0	5.0	5.0	1.0		5.0	99.0		127.0	2.0
NC_060927.1	1::NC_060927.1:199530585-199537254	6669	False	0.6196	1	4.0	1.0	1.0		5.0	157.0		4.0	389.0	1.0			4.0	2.0	2.0		2.0	1.0		2.0	2.0	3.0	2.0	9.0		1.0	1.0	1.0	1.0		1.0	1.0	2.0				1.0		1.0	6.0	476.0			1.0	1.0	310.0	1.0			1.0				13.0			3.0			323.0	474.0	12.0	1.0	
NC_060927.1	3::NC_060927.1:199530596-199537127	6531	False	0.622	1					2.0	187.0	1.0		352.0		1.0								1.0				1.0	12.0		1.0			1.0		1.0			1.0	1.0	1.0				12.0	487.0		1.0			289.0							2.0	5.0	1.0					305.0	499.0	13.0		
NC_060927.1	2::NC_060927.1:199530610-199537132	6522	False	0.6225	1					1.0	185.0			364.0	1.0			1.0			1.0	1.0		1.0	1.0		1.0		14.0	2.0						1.0					1.0		1.0		13.0	503.0					315.0	1.0							12.0						287.0	462.0	5.0		
NC_060946.1	3::NC_060946.1:20758991-20765624	6633	False	0.6881	0	1.0	7.0	2.0	34.0	10.0	3.0	7.0	74.0	82.0	1.0	4.0		4.0	212.0	3.0		62.0	15.0	1.0	1.0	8.0		4.0		99.0	103.0	1.0	70.0	80.0	2.0	2.0	21.0	8.0	64.0	10.0	113.0	8.0	93.0	68.0	20.0	2.0		1.0	5.0			11.0			6.0	30.0	149.0	61.0		10.0		156.0	212.0	2.0		50.0	92.0	124.0	3.0
